#No.,RA,DEC,Type,Velocity,Redshift,Redshift Flag,References,Notes,Photometry Points,Positions,Redshift Points,Diameter Points,Associations ,Redshift-independent Distances,Classifications,Images,Spectra
1,0.645042,-3.710722,G,6462.92581,0.021558,,39,,44,14,7,5,,6,12,1,5
2,0.66625,8.737,G,5538.066077,0.018473,,30,,45,15,9,6,,4,5,1,3
3,0.693208,18.886222,G,7886.040608,0.026305,,38,1,43,15,12,7,,7,17,1,4
4,0.737417,4.208722,G,8631.024866,0.02879,,29,,46,13,10,6,,3,7,1,3
5,0.773583,-1.913806,G,7270.866484,0.024253,,109,3,64,23,15,7,,8,15,1,3
6,0.812042,16.145417,G,1051.072358,0.003506,,285,9,114,36,27,12,,20,35,20,9
7,0.895917,23.200778,G,7269.873571,0.02425,SPEC,104,2,60,25,20,7,,34,38,2,3
8,0.995458,20.752333,G,2309.900889,0.007705,,177,6,80,22,17,7,,23,43,6,9
9,1.005167,-51.394083,G,10496.033747,0.035011,,19,1,39,10,6,14,,3,4,3,1
10,1.062625,-50.646028,G,11872.081129,0.039601,,21,1,39,11,7,16,,3,6,3,
11,1.054349,10.790167,G,7975.078968,0.026602,,33,1,35,13,9,7,,3,7,1,3
12,1.06125,22.588611,G,4444.123397,0.014824,,31,1,27,10,8,4,,3,12,,2
13,1.104292,6.177667,G,5070.989427,0.016915,,23,,46,13,7,6,,4,8,1,2
14,1.120125,5.847111,G,3118.141356,0.010401,,40,1,27,16,13,7,,4,12,1,4
15,1.240792,5.123444,G,5356.991432,0.017869,,23,,34,8,5,7,,,3,1,1
16,1.275968,6.920112,G,6137.051408,0.020471,,64,1,45,19,16,7,,3,8,1,2
17,1.307875,6.772,G,6291.144731,0.020985,,70,2,46,23,18,6,,7,14,4,3
18,1.370917,-50.270306,G,10377.016141,0.034614,,35,2,44,13,13,17,,3,7,3,
19,1.371917,-49.620306,G,10684.902996,0.035641,,18,1,43,10,9,16,,3,6,3,1
20,1.392917,53.631333,G,9522.907428,0.031765,,23,,31,11,7,5,,2,5,1,1
21,1.451708,27.449417,G,7522.092564,0.025091,,59,,44,18,16,7,,21,22,1,3
22,1.48375,22.492583,G,6596.933038,0.022005,,27,1,39,13,9,7,,8,15,1,2
23,1.668208,5.113472,G,5371.081678,0.017916,,34,,41,15,12,7,,4,10,1,3
24,1.699333,4.937056,G,5285.041242,0.017629,,17,,39,11,7,3,,3,7,1,4
25,1.709833,19.321917,G,7894.135004,0.026332,,23,1,40,13,10,7,,3,10,1,3
26,1.719625,-50.415111,G,10097.009985,0.03368,,22,2,38,11,7,16,,4,6,3,1
27,1.798667,13.768194,G,5378,0.017939,,20,,9,9,6,,1,3,4,,3
28,1.816,27.708083,G,4549.950135,0.015177,,120,3,62,22,20,8,,16,32,2,4
29,1.821292,27.678361,G,7546.975338,0.025174,,47,3,43,15,16,8,,14,22,2,3
30,1.831375,32.60925,G,5073.987352,0.016925,,69,2,33,21,14,6,,12,24,2,3
31,2.006825,33.070772,G,4904.005028,0.016358,,65,4,59,19,13,5,,11,17,1,3
32,2.042792,27.00425,G,8774.925246,0.02927,,39,1,50,17,13,7,,7,12,1,1
33,2.045625,27.528139,G,4636.889948,0.015467,,37,1,46,15,11,6,,7,15,1,3
34,2.078083,-59.515611,G,7786.509512,0.025973,,28,1,53,12,8,16,,6,11,3,2
35,2.087333,-29.915,G,1495.064988,0.004987,,65,3,48,20,19,15,,14,23,4,5
36,2.143917,-33.858333,G,6804.089627,0.022696,,53,1,55,15,18,18,,14,18,4,5
37,2.167208,-50.619389,G,10025.959173,0.033443,,12,1,39,11,6,14,,3,5,3,
38,2.205042,24.540333,G,4579.929381,0.015277,,29,,36,10,8,7,,3,8,1,3
39,2.198833,33.433333,G,4811.069366,0.016048,,58,2,43,18,12,7,,12,19,2,2
40,2.268375,25.618611,G,4335.89832,0.014463,,39,,48,14,8,7,,3,13,1,4
41,2.264292,-32.914139,G,6890.130062,0.022983,,37,,43,10,12,18,1,13,14,4,2
42,2.450792,27.832306,G,8312.045691,0.027726,,47,1,43,16,14,6,,7,15,1,3
43,2.472542,25.923778,G,4564.939758,0.015227,,338,11,156,57,31,10,,18,56,17,11
44,2.469982,-64.372086,G,1831.132333,0.006108,,34,2,19,10,8,14,,10,13,4,
45,2.508292,28.210139,G,8172.042613,0.027259,,37,1,42,13,11,7,,2,9,1,3
46,2.485583,-24.963139,G,554.016462,0.001848,,229,7,119,34,19,19,,32,49,48,13
47,2.512583,28.150306,G,8204.120406,0.027366,,29,1,33,11,4,5,,5,10,1,3
48,2.609917,28.987944,G,7037.028367,0.023473,,44,1,45,15,10,7,,12,21,1,3
49,2.58325,-46.419417,G,6003.943556,0.020027,,42,2,45,12,8,16,,14,17,3,
50,2.607792,25.831833,G,4593.120249,0.015321,,99,3,57,21,17,7,,13,42,2,6
51,2.636542,28.99625,G,7848.866343,0.026181,,54,1,50,17,15,7,,15,21,1,3
52,2.670292,32.983083,G,4787.985347,0.015971,,66,4,60,23,11,7,,13,19,2,2
53,2.695417,33.352833,G,4764.901327,0.015894,,75,3,53,20,18,7,,15,23,2,3
54,2.802458,-33.578556,G,7842.870494,0.026161,,33,2,47,12,13,18,2,8,13,4,1
55,2.809352,28.906469,G,8044.93061,0.026835,,36,1,38,13,11,7,,3,8,1,3
56,2.842896,6.389371,G,6029.126123,0.020111,,90,1,43,26,18,7,,8,15,5,3
57,2.853458,-41.398222,G,1466.884497,0.004893,,35,1,23,11,8,14,,8,14,4,2
58,2.937917,28.499,G,8041.932566,0.026825,,37,,38,14,13,7,,7,16,1,3
59,3.037874,12.04496,G,6351.103223,0.021185,,45,,15,9,9,5,1,7,13,,4
60,3.065542,22.321806,G,7633.015773,0.025461,,42,1,49,18,11,7,,11,17,1,2
61,3.667125,18.582028,G,5399.861753,0.018012,,51,1,53,17,12,6,,8,14,1,3
62,3.963667,16.089778,G,4209.08611,0.01404,,97,2,50,21,17,6,,8,14,1,3
63,3.989833,14.075556,G,5475.10966,0.018263,,50,,54,12,11,11,,3,8,1,5
64,4.118417,29.923944,G,4862.933461,0.016221,,36,,38,12,8,7,,8,16,1,3
65,4.184083,7.076083,G,3965.954427,0.013229,,53,1,43,18,14,7,,8,12,1,4
66,4.271083,42.161361,G,5070.989427,0.016915,,31,,50,14,10,7,,4,9,1,1
67,4.2925,-19.301472,G,3202.982621,0.010684,,51,1,46,15,12,18,,13,16,3,2
68,4.330833,6.723056,G,5654.085758,0.01886,,31,1,11,8,10,5,,3,10,,3
69,4.348833,18.084167,G,5443.031867,0.018156,,48,2,48,15,9,7,,,8,1,3
70,4.376542,-6.824611,G,7310.139296,0.024384,,34,1,44,13,9,6,,7,12,1,4
71,4.399458,30.204972,G,4832.054838,0.016118,,44,1,44,17,12,6,,11,20,1,4
72,4.424083,24.667222,G,6047.11367,0.020171,,39,1,49,15,12,6,,12,17,1,3
73,4.439667,11.450333,G,1159.89702,0.003869,,92,1,62,21,13,7,,4,12,4,7
74,4.499333,24.563028,G,5798.885515,0.019343,,54,,44,14,12,5,,8,13,1,4
75,4.60475,18.514528,G,5225.08275,0.017429,,20,,40,12,9,2,,3,7,1,4
76,4.752375,23.476528,G,4462.110945,0.014884,,38,,42,14,10,7,,11,20,1,2
77,4.770583,-22.936389,G,7603.935905,0.025364,,39,2,44,14,9,17,,7,10,3,1
78,4.789042,-24.523083,G,9849.981,0.032856,,24,,48,13,8,18,,3,5,3,1
79,5.026,-54.523167,G,8949.104664,0.029851,,18,1,44,11,6,17,,3,6,3,1
80,5.083708,7.7005,G,5711.046325,0.01905,,46,1,47,17,11,7,,8,14,1,3
81,5.322917,23.090861,G,5714.044249,0.01906,,40,,49,13,11,7,,7,15,1,2
82,5.334167,17.346667,GPair,5271.850374,0.017585,,18,1,8,4,4,3,1,1,6,,2
83,5.369042,22.556417,G,5591.129612,0.01865,,23,,34,8,8,3,,4,4,1,1
84,5.389542,22.591972,G,6561.5,0.021887,SPEC,33,,41,10,6,4,,3,4,1,2
85,5.379708,29.662194,G,7028.034593,0.023443,,34,1,42,12,6,6,,11,18,1,3
86,5.521208,23.736972,G,4484.895172,0.01496,,44,2,42,13,13,7,,17,22,1,2
87,5.556417,10.491583,G,5383.073376,0.017956,,80,4,62,19,15,8,,13,28,3,3
88,5.610375,29.504278,G,7091.890386,0.023656,,46,,49,18,13,7,,8,15,1,3
89,5.739,-22.118611,G,7370.097787,0.024584,,10,1,44,11,4,16,,3,4,3,
90,5.986333,24.305694,G,5681.067079,0.01895,,34,,44,15,13,7,,7,15,1,3
91,6.011834,16.486389,G,843.915769,0.002815,,127,3,54,24,18,8,,19,37,11,8
92,6.193917,29.560528,G,4668.068364,0.015571,,31,,36,11,8,5,,7,16,1,3
93,6.249505,6.664762,G,8688.88481,0.028983,,25,,38,9,5,6,,,3,1,2
94,6.263958,31.344778,G,6804.989004,0.022699,,68,1,50,18,14,7,,16,26,1,4
95,6.354,6.706417,G,8944.008192,0.029834,,16,,42,11,5,3,,3,4,1,3
96,6.375167,24.811333,G,4552.94806,0.015187,,33,1,42,15,11,6,,7,14,1,3
97,6.35475,-41.602417,G,8023.045761,0.026762,,11,,45,12,7,14,,3,4,3,1
98,6.449,-2.284778,G,5329.110733,0.017776,,41,,45,13,10,5,,11,18,1,5
99,6.703042,31.703306,G,6298.939335,0.021011,,64,2,48,18,13,6,,16,23,1,3
100,6.692833,-33.677083,G,1831.132333,0.006108,,73,1,67,19,21,18,,15,27,9,8
101,6.762167,11.583806,G,2133.922716,0.007118,,92,3,57,24,20,6,,21,32,8,3
102,6.964672,3.489737,G,1382.942609,0.004613,,42,,40,14,11,4,,4,5,1,4
103,6.957241,-1.19999,G,3891.90569,0.012982,,162,,88,27,23,15,,13,15,7,4
104,7.062208,30.80325,G,6298.039958,0.021008,,61,3,28,15,13,7,,13,15,1,3
105,7.089583,27.373,G,9590.960316,0.031992,,31,1,30,10,8,7,,7,13,1,3
106,7.092333,2.52725,G,4289.130697,0.014307,,27,2,47,16,8,7,,3,9,1,2
107,7.143208,33.272306,G,4731.924157,0.015784,,33,1,40,16,9,7,,7,14,1,2
108,7.144678,31.1555,G,6066.899973,0.020237,,41,1,53,16,15,5,,7,10,1,4
109,7.34965,31.381047,G,6334.91443,0.021131,,34,,14,11,8,3,,11,21,,3
110,7.414875,11.601528,G,5208.893958,0.017375,,20,,32,11,8,3,,3,5,1,4
111,7.472542,31.393361,G,6306.134354,0.021035,,45,,38,17,14,7,,16,21,1,3
112,7.591542,-33.244028,G,1582.004801,0.005277,,174,6,91,17,18,19,,30,47,15,5
113,7.691333,-29.342917,G,7263.971137,0.02423,,27,,17,9,10,16,2,3,8,2,3
114,7.82375,28.99375,G,4654.877495,0.015527,,41,,41,14,11,6,,11,20,1,3
115,7.80875,-7.840778,G,6119.06386,0.020411,,33,,40,12,10,6,,7,11,1,4
116,7.815083,-22.559944,G,8049.127705,0.026849,,28,2,47,12,5,17,,6,8,3,
117,7.867375,-19.761306,G,7093.988934,0.023663,,42,,44,14,8,17,,13,16,3,2
118,7.898833,-10.506306,G,3553.140212,0.011852,,64,,42,13,14,5,,14,20,7,5
119,7.940583,-5.152639,G,4132.039449,0.013783,,56,3,51,11,12,6,,7,24,5,3
120,8.050292,31.681639,G,6340.910279,0.021151,,43,2,46,15,11,6,,11,17,1,3
121,8.009042,-64.253389,G,2615.988989,0.008726,,75,2,81,19,6,17,,14,18,5,
122,8.061917,-41.383889,G,7803.897474,0.026031,,29,2,49,13,8,18,,7,11,3,2
123,8.128875,2.574167,G,2374.056475,0.007919,,41,1,35,19,11,4,,10,14,2,2
124,8.135208,23.395083,G,4654.877405,0.015527,,44,1,32,12,11,7,,13,21,1,2
125,8.185042,30.750694,G,6116.965313,0.020404,,34,,42,15,12,6,,7,11,1,4
126,8.220667,30.650972,G,6053.109519,0.020191,,20,,43,15,9,2,,3,4,1,4
127,8.21025,11.736861,G,4918.994651,0.016408,,38,1,39,16,13,6,,4,6,1,3
128,8.314333,7.905056,G,5398.062999,0.018006,,41,1,44,12,10,7,1,9,16,1,3
129,8.292833,-13.146194,G,6179.921729,0.020614,,36,,41,12,9,5,,9,13,1,3
130,8.400667,2.681056,G,4388.062208,0.014637,,34,,48,16,10,7,,3,11,1,3
131,8.399625,23.397806,G,5181.912637,0.017285,,27,,41,12,9,5,,3,10,1,4
132,8.511618,-9.705335,G,3732.563,0.01245,SPEC,156,8,124,22,17,15,,28,50,16,4
133,8.5645,-27.803583,G,1587.101273,0.005294,,225,6,91,27,26,19,,35,54,11,6
134,8.636,-30.017861,G,1528.941536,0.0051,,58,2,27,15,14,16,2,12,19,5,3
135,8.712583,39.545111,G,5788.092987,0.019307,,28,1,27,7,7,5,,3,11,4,1
136,8.694833,-8.396444,G,1648.858519,0.0055,,369,12,104,20,18,6,,20,38,24,7
137,8.648042,-55.789972,G,8386.994015,0.027976,,19,1,40,9,4,16,,1,4,3,1
138,8.733042,31.948778,G,5904.112668,0.019694,,41,,42,16,11,7,,11,18,1,3
139,8.90175,9.12425,G,5318.018412,0.017739,,46,1,47,17,12,7,,7,13,1,3
140,8.91475,8.997583,G,5070.09005,0.016912,,25,1,44,13,8,7,,3,10,1,3
141,9.016917,23.957889,G,5255.961374,0.017532,,104,5,54,22,20,8,,11,28,1,3
142,9.041917,21.464556,G,9266.884669,0.030911,,18,1,42,11,9,5,,3,9,1,2
143,9.0083,-9.888528,G,4936.982108,0.016468,,68,4,69,14,17,10,,7,13,10,5
144,9.044042,4.635222,G,4924.9905,0.016428,,36,2,47,14,9,5,,3,8,1,4
145,9.1877,21.566049,G,8914.928324,0.029737,,41,1,36,14,10,8,,8,12,2,3
146,9.301958,1.94225,G,4364.978188,0.01456,,67,2,52,15,9,7,,6,26,2,2
147,9.27575,-46.644083,G,3542.047891,0.011815,,36,2,52,13,8,16,,9,15,3,2
148,9.306708,-22.587028,G,3047.98992,0.010167,,62,2,58,18,16,19,,10,18,3,5
149,9.475333,32.689194,G,4820.06314,0.016078,,33,,37,11,6,5,,12,20,1,2
150,9.491,5.147861,G,5225.982128,0.017432,,25,,35,14,8,4,,7,15,,2
151,9.510083,-46.517583,G,3363.371586,0.011219,,29,2,30,9,6,16,,6,15,3,2
152,9.510792,-53.629833,G,8389.092352,0.027983,,12,,43,12,4,14,,4,4,3,
153,9.632417,30.289917,G,5405.857603,0.018032,,28,,37,11,8,7,,7,14,1,3
154,9.617625,29.625139,G,5651.987211,0.018853,,29,,41,15,10,6,,3,7,1,5
155,9.666375,17.402667,G,5434.038094,0.018126,,32,,9,9,9,5,1,3,10,,3
156,9.771375,6.021056,G,5256.860751,0.017535,,34,1,34,14,12,6,,3,11,1,4
157,9.826083,-27.34925,G,6879.937119,0.022949,,43,1,43,13,11,18,1,13,16,4,1
158,9.906958,8.965417,G,4436.928378,0.0148,,52,1,48,17,12,7,,12,22,1,4
159,9.895333,2.887444,G,5148.935466,0.017175,,74,4,62,22,13,8,,12,32,2,2
160,9.929792,9.00525,G,4439.926303,0.01481,,34,1,44,10,9,7,,2,10,1,2
161,9.889482,-35.803362,G,6447.036809,0.021505,,30,1,35,10,8,14,2,13,19,2,4
162,10.148417,-25.442,G,7404.873713,0.0247,,10,,44,12,6,14,,3,4,3,1
163,10.265208,31.732694,G,4656.076665,0.015531,,57,,53,20,14,6,,17,25,1,4
164,10.229667,-13.775583,G,8462.841297,0.028229,,25,1,45,11,8,4,,3,5,1,2
165,10.181375,-63.441861,G,1711.21535,0.005708,,55,2,44,16,11,16,,14,17,5,2
166,10.36679,25.499441,G,4537.059059,0.015134,,195,6,74,31,21,10,,15,38,12,3
167,10.391221,-10.021429,G,3932,0.013116,,64,1,74,16,16,14,,4,7,7,3
168,10.465375,32.991306,G,4927.988425,0.016438,,43,1,40,15,12,5,,2,11,1,2
169,10.519333,36.805028,G,10643.830949,0.035504,,44,1,52,17,11,7,,7,13,1,2
170,10.532333,33.406761,G,6244.077315,0.020828,,29,1,15,10,9,3,,3,10,1,2
171,10.561208,-18.16175,G,1551.126178,0.005174,,65,1,51,14,16,18,,18,24,7,6
172,10.722833,33.522722,G,6235.083541,0.020798,,51,1,49,14,13,5,,8,15,1,2
173,10.866007,-0.124929,G,4168.913921,0.013906,,166,5,115,32,25,11,,18,31,11,5
174,10.837542,-55.326917,G,7948.097856,0.026512,,24,2,37,7,3,16,,5,10,3,
175,10.936625,-24.421361,G,6774.110381,0.022596,,26,,33,10,8,16,,9,11,3,2
176,11.287811,-9.631711,G,6092.540022,0.020323,SPEC,23,1,39,6,8,9,2,2,3,,1
177,11.493208,-7.282222,G,5824.967459,0.01943,,30,,41,8,7,4,,4,5,1,1
178,11.58075,51.217444,G,5273.948921,0.017592,,33,,37,12,10,7,,4,11,1,1
179,11.465052,-31.199078,G,5839.957082,0.01948,,33,1,12,7,10,15,3,9,12,2,1
180,11.525792,-42.529806,G,7219.002389,0.02408,,13,,34,9,4,14,,3,4,3,
181,11.570083,-24.279333,G,10576.977711,0.035281,,18,,41,13,7,16,,4,4,3,1
182,11.537625,-55.568472,G,7659.997274,0.025551,,19,1,38,9,5,16,,1,6,3,1
183,11.710042,26.4755,G,4954.070368,0.016525,,42,2,33,9,9,5,,7,18,1,4
184,11.679487,-35.797142,G,7025.036668,0.023433,,20,,15,5,7,16,3,3,7,2,1
185,11.736,-21.8475,G,6426.051337,0.021435,,25,1,45,10,9,18,,3,5,3,1
186,11.785625,-20.760389,G,155.892078,0.00052,,457,13,99,38,10,19,,40,61,82,2
187,11.856217,-9.852742,G,5770.211266,0.019247,SPEC,30,,58,12,10,7,,4,3,1,2
188,11.975125,19.596833,G,4555.945984,0.015197,,60,1,45,17,15,9,,7,18,6,3
189,11.94808,-9.89953,G,1344.022952,0.004483,SPEC,65,4,65,19,14,12,,13,18,11,3
190,11.943489,-9.83505,G,5729,0.01911,,67,1,84,25,17,14,,9,12,7,3
191,12.006292,8.297083,G,5279.045393,0.017609,,97,,60,24,18,8,,14,26,2,3
192,12.013708,-2.775333,G,4045.999013,0.013496,,63,3,59,16,9,6,,14,20,1,5
193,12.25875,28.218056,G,5085.97905,0.016965,,70,1,57,17,14,5,,25,35,1,3
194,12.398875,1.11525,G,5282.043318,0.017619,,71,,80,27,24,10,,12,21,10,5
195,12.4393,31.600336,G,5133.945843,0.017125,,34,,12,7,8,3,,10,16,,3
196,12.492583,21.717639,G,4535.85989,0.01513,,27,1,20,8,9,6,,4,10,1,3
197,12.46725,0.963194,G,4623.998872,0.015424,,41,,68,23,15,3,,4,4,1,4
198,12.540583,31.73125,G,4594.919004,0.015327,,46,,39,13,10,5,,12,20,1,4
199,12.511458,7.918806,G,5383.073376,0.017956,,28,1,48,13,11,5,,3,10,5,3
200,12.521945,-1.951762,G,3839.142217,0.012806,,28,1,42,10,5,2,,,,1,2
201,12.586583,-41.24325,G,7012.145593,0.02339,,23,1,44,12,8,18,,5,7,3,
202,12.515687,-66.55329,G,1667.145859,0.005561,,48,1,31,12,5,15,2,7,11,4,1
203,12.642425,-43.063849,G,6930.002459,0.023116,,12,,22,6,4,12,,3,4,2,
204,12.710209,-26.491688,G,5514.08268,0.018393,,18,,30,9,7,12,,3,4,2,1
205,12.696542,-55.607444,G,7919.017688,0.026415,,21,1,44,9,1,16,,7,11,3,1
206,12.893792,29.716472,G,4933.084896,0.016455,,59,,57,15,11,7,,17,25,1,3
207,13.017958,47.5505,G,626.566261,0.00209,,248,17,90,25,14,7,,5,26,28,8
208,13.050625,29.676972,G,5554.854454,0.018529,,39,1,41,11,5,6,,,4,1,
209,13.116461,14.518171,G,5475.10966,0.018263,,51,1,45,17,19,9,1,7,13,9,5
210,13.126083,24.350583,G,10160.865779,0.033893,,53,1,47,15,14,7,,13,19,1,4
211,13.146167,29.207278,G,4868.92931,0.016241,,29,,40,10,7,5,,5,7,1,4
212,13.289042,21.926667,G,7302.944277,0.02436,,33,,41,14,10,5,,18,25,1,2
213,13.360958,29.270361,G,4510.077738,0.015044,,73,,52,18,12,7,,18,25,1,3
214,13.328208,-26.797889,G,10752.955884,0.035868,,15,,50,12,9,14,,3,4,3,2
215,13.386167,2.924306,G,4907.002953,0.016368,,31,,76,20,7,8,,7,14,2,3
216,13.431042,-27.049722,G,5565.047398,0.018563,,55,,60,17,16,17,,10,11,3,5
217,13.383708,-58.107139,G,5973.964311,0.019927,,27,1,43,11,6,16,,9,10,3,
218,13.453668,-33.294948,G,5380.974829,0.017949,,33,1,14,6,11,14,3,9,12,2,3
219,13.446042,-45.186639,G,7323.030372,0.024427,,26,2,55,14,8,18,,13,15,4,1
220,13.469434,-46.972409,G,8271.873501,0.027592,,9,,26,6,3,11,,3,3,2,
221,13.499083,-21.67725,G,17363.979587,0.05792,,12,,35,9,3,4,,3,3,1,
222,13.675437,36.765154,G,6062.103293,0.020221,,42,,44,12,8,3,,14,19,,2
223,13.704917,52.480111,G,5163.925089,0.017225,,23,,36,9,5,5,,1,9,1,1
224,13.678458,21.522639,G,2674.148704,0.00892,,67,2,56,19,11,6,,,5,5,2
225,13.7095,29.246639,G,4629.095344,0.015441,,104,1,90,19,13,7,,25,30,7,6
226,13.695833,31.365972,G,4498.985417,0.015007,,53,1,61,16,12,6,,17,23,1,3
227,13.557708,-62.455361,G,10621.047202,0.035428,,22,1,42,10,8,17,,3,6,3,1
228,13.6375,-51.258639,G,7296.948428,0.02434,,16,,45,12,6,14,,3,4,3,1
229,13.781292,31.542278,G,5469.113811,0.018243,,99,,56,18,14,7,,31,34,1,3
230,13.763167,-19.005944,G,6375.985997,0.021268,,50,1,56,15,12,18,,13,20,3,3
231,13.839792,31.67725,G,5645.091984,0.01883,,61,,48,16,9,6,,21,28,1,4
232,13.787345,-1.046479,G,13703.600195,0.04571,SPEC,54,2,68,19,15,10,,3,9,1,1
233,13.886417,30.398167,G,6674.879077,0.022265,,33,1,44,13,9,2,1,6,8,1,4
234,14.248667,-45.412944,G,7907.925457,0.026378,,26,1,51,14,7,16,,9,10,3,
235,14.423583,33.351444,G,5302.129412,0.017686,,36,1,51,17,10,5,,1,7,1,3
236,14.396208,-5.0025,G,5658.882437,0.018876,,39,2,38,15,12,5,,3,8,1,3
237,14.465431,-1.136015,G,12945.360014,0.043181,SPEC,31,,73,14,12,11,,,2,1,2
238,14.449458,-5.112083,G,5487.101179,0.018303,,33,1,40,17,12,5,,7,8,1,
239,14.506667,-5.071222,G,5267.053665,0.017569,,37,3,40,16,10,5,,4,5,1,1
240,14.480667,-5.130417,G,5479.90634,0.018279,,44,3,42,16,15,5,,13,18,1,4
241,14.647958,45.005222,G,5219.086901,0.017409,,22,,27,9,6,3,,7,14,,1
242,14.593,-36.660139,G,10376.116764,0.034611,,29,1,46,11,7,14,,3,4,3,1
243,14.707542,-35.116028,G,9209.924102,0.030721,,34,1,58,16,14,18,,5,8,4,2
244,14.741667,-18.742667,G,1999.01611,0.006668,,68,3,57,17,17,18,,20,26,5,4
245,14.901,35.560333,G,2356.968305,0.007862,,44,1,47,19,13,7,,7,16,1,4
246,14.917143,15.33098,G,5506.887661,0.018369,,70,1,82,24,24,15,,4,11,7,7
247,14.872458,-36.186611,G,3485.986702,0.011628,,41,1,65,18,15,18,,9,13,6,2
248,14.953053,14.723512,G,12197.056154,0.040685,,41,,81,17,13,13,,8,14,10,4
249,14.958708,-7.577972,G,1650.057689,0.005504,,265,6,213,43,17,6,,21,32,81,15
250,15.117208,47.995194,G,2713.121745,0.00905,,59,1,52,19,12,6,,10,17,1,2
